person_id,person_age,person_gender,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
5806,24.0,female,28471.0,1,RENT,5500.0,6.54,0.19,3.0,683,Yes,0
36976,28.0,male,91041.0,3,RENT,4000.0,12.85,0.04,4.0,579,Yes,0
19739,28.0,female,31015.0,6,RENT,3500.0,7.14,0.11,10.0,627,Yes,0
29125,45.0,male,96924.0,25,RENT,35000.0,11.01,0.36,13.0,566,No,1
31212,39.0,male,48769.0,21,RENT,12000.0,10.74,0.25,16.0,638,No,0
4586,25.0,male,51340.0,2,MORTGAGE,1600.0,13.11,0.03,3.0,654,Yes,0
23191,28.0,male,19526.0,3,RENT,5000.0,10.37,0.26,9.0,576,No,1
9732,22.0,female,77569.0,1,MORTGAGE,6625.0,6.62,0.09,2.0,649,Yes,0
7831,24.0,female,50601.0,0,RENT,7000.0,12.53,0.14,2.0,664,Yes,0
36122,24.0,female,109136.0,0,MORTGAGE,12000.0,12.18,0.11,3.0,701,Yes,0
20082,32.0,male,22500.0,8,RENT,4000.0,15.2,0.18,10.0,555,No,1
36121,34.0,male,60947.0,10,RENT,4000.0,11.46,0.07,6.0,689,No,0
24029,34.0,female,36135.0,13,RENT,10000.0,11.83,0.28,5.0,607,No,1
34218,27.0,male,35428.0,7,RENT,3036.0,12.75,0.09,4.0,571,Yes,0
44180,28.0,male,87961.0,5,MORTGAGE,14000.0,15.03,0.16,8.0,532,No,1
8849,22.0,male,73203.0,1,MORTGAGE,4800.0,7.49,0.07,3.0,604,Yes,0
35300,24.0,female,54853.0,2,RENT,6000.0,11.01,0.11,3.0,624,Yes,0
32955,29.0,male,63127.0,10,MORTGAGE,1900.0,11.49,0.03,7.0,649,Yes,0
27772,29.0,male,240973.0,3,OWN,23000.0,12.18,0.1,9.0,633,Yes,0
28783,27.0,female,35706.0,3,RENT,3000.0,7.88,0.08,7.0,665,No,1
3088,25.0,male,14382.0,0,RENT,3400.0,11.01,0.24,2.0,589,No,1
18311,33.0,female,100386.0,12,RENT,21000.0,11.71,0.21,7.0,588,No,1
8328,22.0,male,69518.0,0,MORTGAGE,7500.0,11.86,0.11,3.0,677,No,0
25013,29.0,female,90093.0,8,RENT,11500.0,11.71,0.13,10.0,649,Yes,0
41597,24.0,female,90986.0,1,MORTGAGE,5405.0,9.13,0.06,4.0,678,No,0
30106,38.0,female,32374.0,16,RENT,5200.0,13.43,0.16,15.0,530,Yes,0
35212,26.0,male,70408.0,6,RENT,6000.0,12.05,0.09,4.0,671,No,0
14528,26.0,female,131884.0,5,MORTGAGE,20000.0,10.75,0.15,4.0,639,No,0
37658,24.0,male,65754.0,1,RENT,8000.0,9.81,0.12,4.0,625,No,0
42934,23.0,female,63746.0,0,MORTGAGE,10017.0,14.11,0.16,3.0,604,No,1
37531,23.0,male,61118.0,0,RENT,13000.0,12.17,0.21,3.0,661,Yes,0
37001,26.0,female,44285.0,2,MORTGAGE,6000.0,9.84,0.14,4.0,608,Yes,0
10539,25.0,male,40270.0,0,RENT,10000.0,7.51,0.25,4.0,563,Yes,0
12253,24.0,female,97043.0,1,OWN,16000.0,6.17,0.16,4.0,558,Yes,0
19581,29.0,male,68487.0,4,RENT,3000.0,7.9,0.04,6.0,704,No,1
9631,26.0,female,43529.0,4,RENT,8400.0,17.27,0.19,4.0,685,No,1
29556,38.0,female,36871.0,15,MORTGAGE,10000.0,11.22,0.27,17.0,598,No,0
19320,29.0,male,88929.0,6,RENT,2500.0,14.35,0.03,9.0,649,No,0
16530,24.0,male,101741.0,3,RENT,12000.0,6.91,0.12,2.0,665,No,0
17272,22.0,female,36741.0,0,MORTGAGE,13250.0,10.99,0.36,4.0,639,No,0
28559,32.0,male,33086.0,12,RENT,6000.0,12.73,0.18,5.0,696,Yes,0
22454,28.0,female,66911.0,3,MORTGAGE,4800.0,5.79,0.07,6.0,705,Yes,0
15383,26.0,female,159658.0,0,MORTGAGE,11200.0,10.99,0.07,4.0,725,No,0
15051,25.0,male,31154.0,1,OWN,2000.0,10.99,0.06,3.0,676,No,0
30901,48.0,male,84772.0,28,MORTGAGE,21600.0,7.51,0.25,11.0,664,Yes,0
24668,29.0,female,90940.0,8,MORTGAGE,10000.0,5.42,0.11,9.0,647,Yes,0
24289,33.0,female,86486.0,12,MORTGAGE,8000.0,12.68,0.09,10.0,715,No,0
24480,32.0,male,89021.0,8,MORTGAGE,8500.0,7.29,0.1,10.0,644,No,0
32046,38.0,female,72959.0,15,OWN,6000.0,14.96,0.08,11.0,580,No,0
10453,23.0,female,82905.0,0,MORTGAGE,10000.0,9.91,0.12,4.0,563,Yes,0
10174,22.0,male,48471.0,0,RENT,9600.0,14.72,0.2,2.0,587,Yes,0
27370,29.0,male,163047.0,5,MORTGAGE,11000.0,11.83,0.07,7.0,676,Yes,0
2923,25.0,male,43204.0,0,MORTGAGE,10000.0,11.99,0.23,4.0,533,No,0
39088,26.0,female,66598.0,3,MORTGAGE,12500.0,9.4,0.19,2.0,673,Yes,0
23167,30.0,female,73115.0,9,MORTGAGE,6000.0,12.73,0.08,6.0,693,Yes,0
33825,31.0,male,64333.0,5,RENT,9600.0,8.56,0.15,9.0,709,No,0
21215,27.0,female,55761.0,4,MORTGAGE,1000.0,16.29,0.02,9.0,659,No,0
6075,22.0,female,30989.0,0,RENT,5825.0,14.27,0.19,2.0,629,No,0
29496,42.0,female,25540.0,18,RENT,2000.0,20.0,0.08,13.0,713,No,0
24941,30.0,female,91212.0,6,RENT,11200.0,13.16,0.12,5.0,619,Yes,0
41243,27.0,female,274383.0,4,MORTGAGE,6079.0,7.19,0.02,6.0,660,No,0
35148,40.0,male,144908.0,17,RENT,12000.0,5.81,0.08,12.0,569,Yes,0
5006,22.0,female,55412.0,0,RENT,5000.0,12.42,0.09,2.0,677,Yes,0
8391,24.0,female,70120.0,6,MORTGAGE,10500.0,6.62,0.15,3.0,560,Yes,0
22520,27.0,female,67048.0,2,MORTGAGE,7500.0,12.22,0.11,6.0,639,No,0
27758,34.0,female,234988.0,12,MORTGAGE,6000.0,14.27,0.03,8.0,517,Yes,0
13236,23.0,male,29456.0,2,RENT,12250.0,13.16,0.42,4.0,645,No,1
30021,38.0,male,54009.0,17,OWN,7000.0,9.76,0.13,12.0,673,Yes,0
34127,25.0,female,34723.0,4,RENT,6429.0,14.52,0.19,2.0,631,Yes,0
27359,31.0,male,162936.0,8,MORTGAGE,10000.0,7.14,0.06,6.0,586,Yes,0
41041,34.0,female,60864.0,10,RENT,12000.0,11.45,0.2,9.0,601,No,0
43679,21.0,male,39503.0,0,RENT,15000.0,11.13,0.38,3.0,639,No,1
37883,25.0,female,67008.0,0,MORTGAGE,12500.0,11.06,0.19,2.0,682,No,0
10475,23.0,male,36618.0,0,RENT,10000.0,11.48,0.27,4.0,597,No,1
33069,25.0,female,36830.0,4,RENT,1638.0,14.97,0.04,4.0,536,Yes,0
34302,24.0,female,84932.0,2,RENT,10000.0,11.01,0.12,4.0,680,No,0
2203,26.0,male,46438.0,2,RENT,13400.0,9.99,0.29,2.0,638,No,1
44158,23.0,female,90008.0,1,RENT,24236.0,15.5,0.27,2.0,598,No,1
32996,26.0,female,91318.0,6,MORTGAGE,8000.0,14.92,0.09,5.0,590,Yes,0
34880,28.0,male,103081.0,8,MORTGAGE,20000.0,10.54,0.19,9.0,638,No,0
10,21.0,female,12739.0,0,OWN,1600.0,14.74,0.13,3.0,640,No,1
19712,32.0,female,39867.0,11,RENT,3400.0,11.01,0.09,5.0,628,No,1
37126,46.0,female,72364.0,20,MORTGAGE,2500.0,7.87,0.03,13.0,668,No,0
13513,25.0,female,112670.0,5,MORTGAGE,12000.0,16.77,0.11,4.0,659,No,0
36577,35.0,male,94979.0,12,MORTGAGE,25000.0,10.62,0.26,12.0,658,Yes,0
22821,29.0,male,71001.0,6,OTHER,14000.0,11.83,0.2,8.0,665,Yes,0
13737,26.0,female,115542.0,3,MORTGAGE,5000.0,12.68,0.04,3.0,575,Yes,0
21821,29.0,male,22851.0,6,RENT,7000.0,10.99,0.31,5.0,613,No,1
7691,25.0,male,33803.0,2,RENT,7000.0,9.76,0.21,4.0,654,Yes,0
9147,23.0,male,73220.0,4,MORTGAGE,5000.0,11.01,0.07,2.0,623,No,0
8046,24.0,female,67217.0,6,MORTGAGE,6000.0,8.0,0.09,2.0,658,Yes,0
28242,28.0,female,251909.0,8,OWN,15000.0,14.84,0.06,8.0,621,Yes,0
